,Player,MPG,PER,OWS,DWS,WS,OBPM,BPM,VORP,Years_Played,Fantasy_PPG
8534,Kelly Olynyk,20.0,15.2,1.5,1.4,2.9,0.3,0.5,0.9,1.0,17.239285714285714
8535,Travis Outlaw,16.9,10.4,0.8,0.6,1.4,-1.6,-2.5,-0.1,10.0,11.063492063492063
8536,Zaza Pachulia,25.0,14.0,1.0,0.7,1.7,-1.0,-0.7,0.4,8.0,18.839622641509433
8537,Jannero Pargo,8.34,18.9,0.2,0.4,0.5,3.1,0.9,0.2,10.0,8.905172413793103
8538,Tony Parker,29.37,18.9,3.9,1.9,5.9,1.3,-0.5,0.8,13.0,27.176470588235293
8539,Chandler Parsons,37.61,15.9,5.1,2.5,7.6,2.2,2.6,3.2,3.0,31.550675675675677
8540,Patrick Patterson,23.58,14.6,1.8,2.0,3.8,0.4,1.5,1.3,4.0,18.642307692307693
8541,Chris Paul,35.02,25.9,9.0,3.2,12.2,6.8,7.4,5.2,9.0,46.0
8542,Kendrick Perkins,19.47,6.3,-0.9,1.7,0.8,-4.7,-2.7,-0.2,7.0,10.040322580645162
8543,Paul Pierce,27.97,16.8,2.9,2.3,5.2,1.3,1.5,1.8,16.0,25.18
8544,Mason Plumlee,18.21,19.0,3.0,1.7,4.7,0.5,2.4,1.4,1.0,15.325
8545,Quincy Pondexter,18.0,10.3,0.2,0.2,0.4,-0.7,-2.6,0.0,4.0,10.683333333333334
8546,Otto Porter,8.62,6.0,-0.4,0.3,0.0,-5.4,-6.8,-0.4,1.0,4.22972972972973
8547,Phil Pressey,15.09,8.8,-1.0,1.1,0.1,-3.7,-4.4,-0.7,1.0,10.186666666666667
8548,A.J. Price,3.54,9.7,-0.1,0.0,0.0,-2.1,-6.0,-0.1,5.0,2.5
8549,Ronnie Price,12.16,7.6,-0.5,0.4,-0.1,-4.0,-3.8,-0.2,9.0,8.225806451612904
8550,Pablo Prigioni,19.44,13.0,2.5,0.9,3.4,1.5,0.6,0.8,2.0,13.261363636363637
8551,Tayshaun Prince,25.63,8.2,-0.2,1.8,1.5,-3.1,-2.6,-0.3,12.0,12.730263157894736
8552,Anthony Randolph,12.26,12.2,-0.1,0.7,0.6,-3.1,-1.8,0.0,6.0,10.726744186046512
8553,Zach Randolph,34.24,18.3,2.9,3.5,6.4,0.1,0.4,1.7,12.0,31.56645569620253
8554,J.J. Redick,28.2,16.6,2.3,0.7,3.0,2.9,0.8,0.7,8.0,24.35
8555,Glen Rice,9.91,6.6,-0.3,0.2,-0.1,-5.9,-5.8,-0.1,16.0,6.590909090909091
8556,Luke Ridnour,18.7,9.0,-0.3,0.4,0.1,-2.7,-5.1,-0.9,11.0,11.586065573770492
8557,Austin Rivers,19.41,11.6,0.2,0.4,0.6,-1.5,-3.9,-0.7,2.0,13.960144927536232
8558,Andre Roberson,9.98,9.0,0.2,0.6,0.8,-2.2,-0.3,0.2,1.0,5.96875
8559,Brian Roberts,23.15,13.4,2.0,0.2,2.2,0.3,-2.9,-0.4,2.0,17.59722222222222
8560,Nate Robinson,19.68,15.6,1.3,0.5,1.8,1.9,-0.2,0.4,9.0,18.227272727272727
8561,Thomas Robinson,12.47,14.1,0.4,1.2,1.6,-3.1,-3.2,-0.3,2.0,10.221428571428572
8562,Rajon Rondo,33.27,15.3,0.2,1.0,1.1,0.2,0.0,0.5,8.0,31.858333333333334
8563,Derrick Rose,31.1,9.7,-0.6,0.4,-0.2,-2.8,-5.1,-0.2,5.0,24.525
8564,Terrence Ross,26.65,12.0,2.0,2.2,4.2,0.6,-0.1,1.0,2.0,18.950617283950617
8565,Ricky Rubio,32.17,15.4,2.2,3.6,5.9,0.0,1.5,2.3,3.0,30.353658536585368
8566,Brandon Rush,11.0,4.1,-0.5,0.0,-0.4,-5.0,-6.3,-0.4,6.0,4.7368421052631575
8567,John Salmons,22.13,7.8,0.2,1.4,1.7,-2.2,-2.1,0.0,12.0,12.10897435897436
8568,Larry Sanders,25.39,14.0,0.1,0.6,0.7,-3.3,-1.8,0.0,3.0,20.467391304347824
8569,Dennis Schroder,13.08,5.8,-1.1,0.4,-0.7,-6.2,-8.3,-1.0,1.0,7.091836734693878
8570,Luis Scola,17.06,13.4,-0.4,2.8,2.5,-4.3,-3.8,-0.6,7.0,13.478658536585366
8571,Mike Scott,18.52,15.3,1.3,1.2,2.6,-0.7,-3.0,-0.4,2.0,15.378125
8572,Thabo Sefolosha,25.97,10.4,0.9,2.1,3.0,-0.7,0.8,1.1,8.0,15.80327868852459
8573,Ramon Sessions,26.67,16.0,3.1,1.2,4.3,0.1,-2.2,-0.1,7.0,21.680722891566266
8574,Mustafa Shakur,3.67,-8.8,-0.1,0.0,-0.1,-17.4,-29.9,-0.1,2.0,1.25
8575,Tornike Shengelia,5.92,3.9,-0.2,0.1,-0.1,-5.7,-6.8,-0.2,2.0,2.144230769230769
8576,Iman Shumpert,26.51,9.6,0.4,1.6,2.0,-0.8,-0.1,0.9,3.0,16.614864864864863
8577,Alexey Shved,10.54,10.2,-0.4,0.7,0.2,-2.7,-3.1,-0.2,2.0,8.15079365079365
8578,Henry Sims,19.02,16.1,1.4,0.7,2.1,-1.0,-1.3,0.2,1.0,16.28804347826087
