,Player,MPG,PER,VORP,BPM,OBPM,WS,OWS,DWS
270,Enes Kanter,25.774647887323944,24.0,2.1,1.6116950239627057,0.318518649034071,7.6,5.5,2.0999999999999996
271,Luke Kennard,20.041095890410958,12.1,0.2,-1.6074960937007252,-2.053751869945908,2.6,1.1,1.5
272,Michael Kidd-Gilchrist,25.0,12.5,0.1,-2.488451911499061,-2.661450367811972,3.2,1.6,1.6
273,Sean Kilpatrick,12.307692307692308,11.6,-0.7,-8.267084861654133,-3.3511770091209745,0.1,-0.2,0.30000000000000004
274,Maxi Kleber,16.75,13.4,0.7,-0.7239913290324778,-0.5391995776977363,2.8,1.6,1.1999999999999997
275,Furkan Korkmaz,5.714285714285714,3.4,-0.1,-7.315225594362774,-6.598821998615174,0.0,-0.1,0.1
276,Luke Kornet,16.3,13.6,0.2,-1.5106035207583648,-1.2291482245034124,0.5,0.2,0.3
277,Kyle Korver,21.561643835616437,13.4,0.9,-3.520718596023237,0.8057853172043161,3.4,2.8,0.6000000000000001
278,Kosta Koufos,19.591549295774648,17.5,0.9,-1.8914546819598455,-0.1486811375997492,3.9,2.3,1.6
279,Kyle Kuzma,31.181818181818183,14.2,0.4,-4.048528122609189,-0.8750598566355843,3.8,1.5,2.3
280,Mindaugas Kuzminskas,2.0,-41.1,0.0,-51.11626767591536,-38.14656431674728,0.0,0.0,0.0
281,Skal Labissiere,20.666666666666668,14.3,-0.2,-5.35328814750636,-3.9716680527951467,1.4,0.4,0.9999999999999999
282,Jeremy Lamb,24.5875,17.0,1.5,0.17994152545412812,-0.18328610353034658,4.9,3.0,1.9000000000000004
283,Shane Larkin,14.351851851851851,10.4,0.0,-4.734174690740241,-2.5072151245757768,1.4,0.3,1.0999999999999999
284,Joffrey Lauvergne,9.709090909090909,16.5,0.1,-2.9705872736810988,9.033622554377452e-05,1.3,0.6,0.7000000000000001
285,Zach LaVine,27.333333333333332,14.6,-0.1,-5.263650834295416,-0.4529907308332587,0.3,-0.1,0.4
286,Jake Layman,4.571428571428571,4.9,-0.1,-6.727464256723764,-5.920477013215557,-0.1,-0.3,0.19999999999999998
287,T.J. Leaf,8.660377358490566,10.7,-0.3,-6.459058650749884,-1.7681082441945817,0.8,0.5,0.30000000000000004
288,Courtney Lee,30.394736842105264,13.0,1.2,-2.043134001900537,-0.7275430343942553,3.9,2.7,1.1999999999999997
289,Damion Lee,26.933333333333334,12.0,0.0,-3.8789359353825645,-1.5793785587347284,0.4,0.0,0.4
290,Walt Lemon Jr.,7.0,6.9,-0.1,-12.692076787371438,-8.706104480427154,-0.1,-0.1,0.0
291,Alex Len,20.217391304347824,19.4,1.0,-0.7028443543671372,-1.7410562721954697,4.5,3.2,1.2999999999999998
292,Kawhi Leonard,23.333333333333332,26.0,0.4,2.2706607612430947,1.3740940902423904,0.9,0.3,0.6000000000000001
293,Meyers Leonard,7.696969696969697,17.8,0.2,-0.008872490733769278,0.7249433650062518,1.1,0.7,0.40000000000000013
